,id,suffix,tld,punycode,origin,type,tld type,suffix type,tld manager,psl comment,code
189,189,*.ex.ortsinfo.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,Futureweb OG,m00189pd3
190,190,*.kunden.ortsinfo.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,Futureweb OG,m00190pd3
191,191,blogspot.co.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,GoIP DNS Services,m00191pd2
192,192,biz.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,info.at,m00192pd1
193,193,info.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,info.at,m00193pd1
194,194,priv.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,priv.at,m00194pd1
195,195,myspreadshop.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,Spreadshop (sprd.net AG),m00195pd1
196,196,12hp.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,TrafficPlex GmbH,m00196pd1
197,197,2ix.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,TrafficPlex GmbH,m00197pd1
198,198,4lima.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,TrafficPlex GmbH,m00198pd1
199,199,lima-city.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,TrafficPlex GmbH,m00199pd1
200,200,au,au,,both,country-code,country-code,icann,.au Domain Administration (auDA),au,b00200cc0
201,201,com.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00201cc1
202,202,net.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00202cc1
203,203,org.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00203cc1
204,204,edu.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00204cc1
205,205,gov.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00205cc1
206,206,asn.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00206cc1
207,207,id.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00207cc1
208,208,info.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00208cc1
209,209,conf.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00209cc1
210,210,oz.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00210cc1
211,211,act.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00211cc1
212,212,nsw.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00212cc1
213,213,nt.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00213cc1
214,214,qld.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00214cc1
215,215,sa.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00215cc1
216,216,tas.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00216cc1
217,217,vic.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00217cc1
218,218,wa.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00218cc1
219,219,act.edu.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00219cc2
220,220,catholic.edu.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00220cc2
221,221,nsw.edu.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00221cc2
222,222,nt.edu.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00222cc2
223,223,qld.edu.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00223cc2
224,224,sa.edu.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00224cc2
225,225,tas.edu.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00225cc2
226,226,vic.edu.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00226cc2
227,227,wa.edu.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00227cc2
228,228,qld.gov.au,au,,merged,country-code,country-code,icann,.au Domain Administration (auDA),au,m00228cc2
