,Domain,Type,TLD Manager
1232,.tattoo,generic,UNR Corp.
1233,.tax,generic,"Binky Moon, LLC"
1234,.taxi,generic,"Binky Moon, LLC"
1235,.tc,country-code,Melrex TC
1236,.tci,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
1237,.td,country-code,l'Agence de Développement des Technologies de l'Information et de la Communication (ADETIC)
1238,.tdk,generic,TDK Corporation
1239,.team,generic,"Binky Moon, LLC"
1240,.tech,generic,Radix FZC
1241,.technology,generic,"Binky Moon, LLC"
1242,.tel,sponsored,Telnames Ltd.
1243,.telecity,generic,Not assigned
1244,.telefonica,generic,Not assigned
1245,.temasek,generic,Temasek Holdings (Private) Limited
1246,.tennis,generic,"Binky Moon, LLC"
1247,.teva,generic,Teva Pharmaceutical Industries Limited
1248,.tf,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
1249,.tg,country-code,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP)
1250,.th,country-code,Thai Network Information Center Foundation
1251,.thd,generic,"Home Depot Product Authority, LLC"
1252,.theater,generic,"Binky Moon, LLC"
1253,.theatre,generic,XYZ.COM LLC
1254,.tiaa,generic,Teachers Insurance and Annuity Association of America
1255,.tickets,generic,XYZ.COM LLC
1256,.tienda,generic,"Binky Moon, LLC"
1257,.tiffany,generic,Tiffany and Company
1258,.tips,generic,"Binky Moon, LLC"
1259,.tires,generic,"Binky Moon, LLC"
1260,.tirol,generic,punkt Tirol GmbH
1261,.tj,country-code,Information Technology Center
1262,.tjmaxx,generic,"The TJX Companies, Inc."
1263,.tjx,generic,"The TJX Companies, Inc."
1264,.tk,country-code,Telecommunication Tokelau Corporation (Teletok)
1265,.tkmaxx,generic,"The TJX Companies, Inc."
1266,.tl,country-code,Autoridade Nacional de Comunicações
1267,.tm,country-code,TM Domain Registry Ltd
1268,.tmall,generic,Alibaba Group Holding Limited
1269,.tn,country-code,Agence Tunisienne d'Internet
1270,.to,country-code,Government of the Kingdom of Tonga H.R.H. Crown Prince Tupouto'a c/o Consulate of Tonga
1271,.today,generic,"Binky Moon, LLC"
1272,.tokyo,generic,"GMO Registry, Inc."
1273,.tools,generic,"Binky Moon, LLC"
1274,.top,generic,"Jiangsu Bangning Science & Technology Co.,Ltd."
1275,.toray,generic,"Toray Industries, Inc."
1276,.toshiba,generic,TOSHIBA Corporation
1277,.total,generic,Total SA
1278,.tours,generic,"Binky Moon, LLC"
1279,.town,generic,"Binky Moon, LLC"
1280,.toyota,generic,TOYOTA MOTOR CORPORATION
1281,.toys,generic,"Binky Moon, LLC"
1282,.tp,country-code,Retired
1283,.tr,country-code,Bilgi Teknolojileri ve İletişim Kurumu (BTK)
1284,.trade,generic,Elite Registry Limited
1285,.trading,generic,"Dog Beach, LLC"
1286,.training,generic,"Binky Moon, LLC"
1287,.travel,sponsored,"Dog	Beach, LLC"
1288,.travelchannel,generic,"Lifestyle Domain Holdings, Inc."
1289,.travelers,generic,"Travelers TLD, LLC"
1290,.travelersinsurance,generic,"Travelers TLD, LLC"
1291,.trust,generic,UNR Corp.
1292,.trv,generic,"Travelers TLD, LLC"
1293,.tt,country-code,University of the West Indies Faculty of Engineering
1294,.tube,generic,Latin American Telecom LLC
1295,.tui,generic,TUI AG
1296,.tunes,generic,"Amazon Registry Services, Inc."
1297,.tushu,generic,"Amazon Registry Services, Inc."
